name,name_kr,artist,label,type,level,bg_img
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,s,s,19,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,s,s,16,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Queencard,Queencard,(G)I-DLE,s,s,09,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,s,s,22,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Euphorianic,Euphorianic,SHK,s,s,16,https://piugame.com/data/song_img/7e1af52be6d8b4e147d2a0ebbf54ef98.png
Uh-Heung,Uh-Heung,DKZ,s,s,22,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,d,d,17,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Discord,Discord,QWER,s,s,16,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
DO or DIE,DO or DIE,xikers,s,s,17,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png
Queencard,Queencard,(G)I-DLE,d,d,22,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
After LIKE,After LIKE,IVE,s,s,09,https://piugame.com/data/song_img/ed7e43efd28eba896f90b94ff1ebc06f.png
Euphorianic,Euphorianic,SHK,s,s,08,https://piugame.com/data/song_img/7e1af52be6d8b4e147d2a0ebbf54ef98.png
After LIKE,After LIKE,IVE,s,s,06,https://piugame.com/data/song_img/ed7e43efd28eba896f90b94ff1ebc06f.png
Queencard,Queencard,(G)I-DLE,s,s,15,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Euphorianic,Euphorianic,SHK,s,s,11,https://piugame.com/data/song_img/7e1af52be6d8b4e147d2a0ebbf54ef98.png
Discord,Discord,QWER,s,s,06,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
Queencard,Queencard,(G)I-DLE,s,s,05,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
TOMBOY,TOMBOY,(G)I-DLE,s,s,08,https://piugame.com/data/song_img/ec342950e66150e76a00b09492dfda3c.png
Earendel,Earendel,Palami feat.neur6sia,s,s,20,https://piugame.com/data/song_img/972549a9c03d8cc569270252aa405cf8.png
Dancing ,Dancing ,Said ,d,d,24,https://piugame.com/data/song_img/f48667b834fd130175badd24da2c911e.png
Big Daddy,Big Daddy,USAO,s,s,16,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,d,d,25,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Discord,Discord,QWER,s,s,09,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,d,d,21,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
